"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RC2MTZH5","journalArticle","2022","Wollheim, Wilfred M.; Harms, Tamara K.; Robison, A.; Koenig, Lauren E.; Helton, Ashley M.; Song, Chao; Bowden, William B.; Finlay, Jacques C.","Superlinear scaling of riverine biogeochemical function with watershed size.","Nature Communications","","","10.1038/s41467-022-28630-z","","River networks regulate carbon and nutrient exchange between continents, atmosphere, and oceans. However, contributions of riverine processing are poorly constrained at continental scales. Scaling relationships of cumulative biogeochemical function with watershed size (allometric scaling) provide an approach for quantifying the contributions of fluvial networks in the Earth system. Here we show that allometric scaling of cumulative riverine function with watershed area ranges from linear to superlinear, with scaling exponents constrained by network shape, hydrological conditions, and biogeochemical process rates. Allometric scaling is superlinear for processes that are largely independent of substrate concentration (e.g., gross primary production) due to superlinear scaling of river network surface area with watershed area. Allometric scaling for typically substrate-limited processes (e.g., denitrification) is linear in river networks with high biogeochemical activity or low river discharge but becomes increasingly superlinear under lower biogeochemical activity or high discharge, conditions that are widely prevalent in river networks. The frequent occurrence of superlinear scaling indicates that biogeochemical activity in large rivers contributes disproportionately to the function of river networks in the Earth system.","2022","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: 35264560 PMCID: 8907334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6RIETHD","journalArticle","2016","Raymond, Peter A.; Saiers, James E.; Sobczak, William V.","Hydrological and biogeochemical controls on watershed dissolved organic matter transport: pulse-shunt concept","Ecology","","","10.1890/14-1684.1","","Hydrological precipitation and snowmelt events trigger large ""pulse"" releases of terrestrial dissolved organic matter (DOM) into drainage networks due to an increase in DOM concentration with discharge. Thus, low-frequency large events, which are predicted to increase with climate change, are responsible for a significant percentage of annual terrestrial DOM input to drainage networks. These same events are accompanied by marked and rapid increases in headwater stream velocity; thus they also ""shunt"" a large proportion of the pulsed DOM to downstream, higher-order rivers and aquatic ecosystems geographically removed from the DOM source of origin. Here we merge these ideas into the ""pulse-shunt concept"" (PSC) to explain and quantify how infrequent, yet major hydrologic events may drive the timing, flux, geographical dispersion, and regional metabolism of terrestrial DOM. The PSC also helps reconcile long-standing discrepancies in C cycling theory and provides a robust framework for better quantifying its highly dynamic role in the global C cycle. The PSC adds a critical temporal dimension to linear organic matter removal dynamics postulated by the river continuum concept. It also can be represented mathematically through a model that is based on stream scaling approaches suitable for quantifying the important role of streams and rivers in the global C cycle. Initial hypotheses generated by the PSC include: (1) Infrequent large storms and snowmelt events account for a large and underappreciated percentage of the terrestrial DOM flux to drainage networks at annual and decadal time scales and therefore event statistics are equally important to total discharge when determining terrestrial fluxes. (2) Episodic hydrologic events result in DOM bypassing headwater streams and being metabolized in large rivers and exported to coastal systems. We propose that the PSC provides a framework for watershed biogeochemical modeling and predictions and discuss implications to ecological processes.","2016","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: 27008769 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETUNGNG6","journalArticle","2008","Battin, Tom J.; Kaplan, Louis A.; Findlay, Stuart E. G.; Hopkinson, Charles S.; Martí, Eugènia; Packman, Aaron I.; Newbold, J. Denis; Sabater, Francesc","Biophysical controls on organic carbon fluxes in fluvial networks","Nature Geoscience","","","10.1038/ngeo101","","Rivers may be efficient environments for metabolizing terrestrial organic carbon that was previously thought to be recalcitrant, owing to pockets that provide geophysical opportunities by retaining material for longer, and to the adaptation of microbial communities, which has enabled them to exploit the energy that escapes upstream ecosystems.","2008","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M6BBMKI","journalArticle","2014","Team, R. Core","R: A language and environment for statistical computing.","MSOR connections","","","null","","Copyright (©) 1999–2012 R Foundation for Statistical Computing. Permission is granted to make and distribute verbatim copies of this manual provided the copyright notice and this permission notice are preserved on all copies. Permission is granted to copy and distribute modified versions of this manual under the conditions for verbatim copying, provided that the entire resulting derived work is distributed under the terms of a permission notice identical to this one. Permission is granted to copy and distribute translations of this manual into another language, under the above conditions for modified versions, except that this permission notice may be stated in a translation approved by the R Core Team.","2014","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REBDR29T","journalArticle","2021","Segatto, Pier Luigi; Battin, Tom J.; Bertuzzo, Enrico","The Metabolic Regimes at the Scale of an Entire Stream Network Unveiled Through Sensor Data and Machine Learning","Ecosystems","","","10.1007/s10021-021-00618-8","","Streams and rivers form dense networks that drain the terrestrial landscape and are relevant for biodiversity dynamics, ecosystem functioning, and transport and transformation of carbon. Yet, resolving in both space and time gross primary production (GPP), ecosystem respiration (ER) and net ecosystem production (NEP) at the scale of entire stream networks has been elusive so far. Here, combining Random Forest (RF) with time series of sensor data in 12 reach sites, we predicted annual regimes of GPP, ER, and NEP in 292 individual stream reaches and disclosed properties emerging from the network they form. We further predicted available light and thermal regimes for the entire network and expanded the library of stream metabolism predictors. We found that the annual network-scale metabolism was heterotrophic yet with a clear peak of autotrophy in spring. In agreement with the River Continuum Concept, small headwaters and larger downstream reaches contributed 16% and 60%, respectively, to the annual network-scale GPP. Our results suggest that ER rather than GPP drives the metabolic stability at the network scale, which is likely attributable to the buffering function of the streambed for ER, while GPP is more susceptible to flow-induced disturbance and fluctuations in light availability. Furthermore, we found large terrestrial subsidies fueling ER, pointing to an unexpectedly high network-scale level of heterotrophy, otherwise masked by simply considering reach-scale NEP estimations. Our machine learning approach sheds new light on the spatiotemporal dynamics of ecosystem metabolism at the network scale, which is a prerequisite to integrate aquatic and terrestrial carbon cycling at relevant scales.","2021","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDWF4UM7","journalArticle","2019","Koenig, Lauren E.; Helton, Ashley M.; Savoy, Philip; Bertuzzo, Enrico; Heffernan, James B.; Hall, Robert O.; Hall, Robert O.; Hall, Robert O.; Bernhardt, Emily S.","Emergent productivity regimes of river networks","Limnology and Oceanography","","","10.1002/lol2.10115","","null","2019","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAAIREJT","journalArticle","2007","Cole, Jonathan J.; Prairie, Yves T.; Caraco, Nina F.; McDowell, William H.; Tranvik, Lars J.; Striegl, Robert G.; Striegl, Robert G.; Striegl, Robert G.; Duarte, Carlos M.; Kortelainen, Pirkko; Downing, John A.; Middelburg, Jack J.; Melack, John M.","Plumbing the Global Carbon Cycle: Integrating Inland Waters into the Terrestrial Carbon Budget","Ecosystems","","","10.1007/s10021-006-9013-8","","Because freshwater covers such a small fraction of the Earth’s surface area, inland freshwater ecosystems (particularly lakes, rivers, and reservoirs) have rarely been considered as potentially important quantitative components of the carbon cycle at either global or regional scales. By taking published estimates of gas exchange, sediment accumulation, and carbon transport for a variety of aquatic systems, we have constructed a budget for the role of inland water ecosystems in the global carbon cycle. Our analysis conservatively estimates that inland waters annually receive, from a combination of background and anthropogenically altered sources, on the order of 1.9 Pg C y−1 from the terrestrial landscape, of which about 0.2 is buried in aquatic sediments, at least 0.8 (possibly much more) is returned to the atmosphere as gas exchange while the remaining 0.9 Pg y−1 is delivered to the oceans, roughly equally as inorganic and organic carbon. Thus, roughly twice as much C enters inland aquatic systems from land as is exported from land to the sea. Over prolonged time net carbon fluxes in aquatic systems tend to be greater per unit area than in much of the surrounding land. Although their area is small, these freshwater aquatic systems can affect regional C balances. Further, the inclusion of inland, freshwater ecosystems provides useful insight about the storage, oxidation and transport of terrestrial C, and may warrant a revision of how the modern net C sink on land is described.","2007","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X448V4QB","journalArticle","2009","Battin, Tom J.; Luyssaert, Sebastiaan; Kaplan, Louis A.; Aufdenkampe, Anthony K.; Richter, Andreas; Richter, Andreas; Tranvik, Lars J.","The boundless carbon cycle","Nature Geoscience","","","10.1038/ngeo618","","The terrestrial biosphere is assumed to take up most of the carbon on land. However, it is becoming clear that inland waters process large amounts of organic carbon and must be considered in strategies to mitigate climate change.","2009","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GNZEMBQ","journalArticle","1980","Vannote, Robin L.; Vannote, Robin L.; Minshall, G. Wayne; Cummins, Kenneth W.; Sedell, James R.; Cushing, Colbert E.; Gushing, Colbert E.; Cushing, Colbert E.","The River Continuum Concept","Canadian Journal of Fisheries and Aquatic Sciences","","","10.1139/f80-017","","From headwaters to mouth, the physical variables within a river system present a continuous gradient of physical conditions. This gradient should elicit a series of responses within the constituent populations resulting in a continuum of biotic adjustments and consistent patterns of loading, transport, utilization, and storage of organic matter along the length of a river. Based on the energy equilibrium theory of fluvial geomorphologists, we hypothesize that the structural and functional characteristics of stream communities are adapted to conform to the most probable position or mean state of the physical system. We reason that producer and consumer communities characteristic of a given river reach become established in harmony with the dynamic physical conditions of the channel. In natural stream systems, biological communities can be characterized as forming a temporal continuum of synchronized species replacements. This continuous replacement functions to distribute the utilization of energy inputs o...","1980","2023-03-04 18:52:03","2023-03-04 18:52:03","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54P5CF4P","journalArticle","2003","Weishaar, James L.; Aiken, George R.; Bergamaschi, Brian A.; Fram, Miranda S.; Fram, Miranda S.; Fujii, Roger; Mopper, Kenneth","Evaluation of specific ultraviolet absorbance as an indicator of the chemical composition and reactivity of dissolved organic carbon.","Environmental Science & Technology","","","10.1021/es030360x","","Specific UV absorbance (SUVA) is defined as the UV absorbance of a water sample at a given wavelength normalized for dissolved organic carbon (DOC) concentration. Our data indicate that SUVA, determined at 254 nm, is strongly correlated with percent aromaticity as determined by 13C NMR for 13 organic matter isolates obtained from a variety of aquatic environments. SUVA, therefore, is shown to be a useful parameter for estimating the dissolved aromatic carbon content in aquatic systems. Experiments involving the reactivity of DOC with chlorine and tetra- methylammonium hydroxide (TMAH), however, show a wide range of reactivity for samples with similar SUVA values. These results indicate that, while SUVA measurements are good predictors of general chemical characteristics of DOC, they do not provide information about reactivity of DOC derived from different types of source materials. Sample pH, nitrate, and iron were found to influence SUVA measurements.","2003","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 14594381 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
