COMID,Stream DO
22877591,11.08717074
22877593,10.62301729
22877595,10.62764415
22877597,10.64822949
22877599,10.66888382
22877601,10.65800243
22877603,10.63136835
22877605,10.31453695
22877607,11.08202414
22877609,10.69201406
22877611,11.08197129
22877613,9.832197986
22877615,11.0819516
22877617,10.45500364
22877619,10.454905
22877621,10.45374805
22877623,10.4472627
22877625,10.47532878
22877627,9.767784386
22877629,10.6363939
22877631,11.00956189
22877633,11.08169935
22877635,11.08161116
22877637,11.08154903
22877639,10.69241301
22877641,10.69241301
22877643,10.70177587
22877645,10.70173093
22877647,10.71105409
22877649,10.71091879
22877651,10.71086076
22877653,10.73086803
22877655,10.72106742
22877657,10.70980754
22877659,10.71432819
22877661,10.72418351
22877663,10.72563018
22877665,10.74326954
22877667,10.64422084
22877669,10.73126312
22877671,10.74583873
22877673,10.68510701
22877675,10.65068901
22877677,10.55296298
22877679,10.55431474
22877681,10.51633918
22877683,10.49720596
22877685,10.47279808
22877687,10.47386835
22877689,10.66698171
22877691,10.62639936
22877693,10.7351785
22877695,10.75780282
22877697,10.69868428
22877699,10.84244813
22877701,10.83675616
22877703,11.05596088
22877705,10.56429796
22877707,10.64126162
22877709,10.73225883
22877711,10.51754052
22877713,11.07555406
22877715,10.63752125
22877717,11.0731288
22877719,10.57633278
22877721,10.63752125
22877723,11.39376386
22877725,10.64553328
22877727,10.6404997
22877729,10.65656869
22877731,10.68630005
22877733,10.6672043
22877735,10.67114584
22877737,10.59259794
22877739,10.61166956
22877741,10.6270768
22877743,10.63398177
22877745,10.79158026
22877747,10.78781226
22877749,10.69515284
22877751,10.78798315
22877753,11.04533803
22877755,10.51596552
22877757,10.51873845
22877759,10.53406384
22877761,10.57840319
22877763,10.63526067
22877765,10.64805251
22877767,10.41478272
22877769,10.34659695
22877771,10.02186577
22877773,10.0145765
22877775,10.80730589
22877777,10.59565576
22877779,10.59527849
22877781,10.57188148
22877783,10.57187037
22877785,10.57185926
22877787,10.50204307
22877789,10.51127181
22877791,10.51124829
22877793,10.44478134
22877795,10.43736922
22877797,10.28104634
22877799,10.1138317
22877801,9.913368238
22877803,10.0885705
22877805,10.12598887
22877807,10.14373081
22877809,10.14789804
22877811,10.28398875
22877813,10.4238512
22877815,10.56013347
22877817,10.64909968
22877819,10.62689401
22877821,10.60592771
22877823,10.65329481
22877825,10.58598361
22877827,10.61364101
22877829,10.62739148
22877831,10.68380204
22877833,10.63377198
22877835,10.79663414
22877837,10.85185677
22877839,10.711239
22877841,10.93783034
22877843,11.07728041
22877845,11.19448931
22877847,11.44950114
22877849,11.54264452
22877851,10.56268362
22877853,10.82731144
22877855,11.20807617
22877857,11.2073194
22877859,11.62749197
22877861,11.58213818
22877863,11.58124321
22877865,11.06762916
22877867,9.723731118
22877869,11.06752168
22877871,11.13862468
22877873,11.0674711
22877875,10.62677998
22877877,11.06743118
22877879,10.64365613
22877881,11.06733124
22877883,11.3572521
22877885,11.06240954
22877887,9.939328474
22877889,11.0623992
22877891,10.77948789
22877893,11.0623655
22877895,10.37425176
22877897,11.06233306
22877899,11.06229802
22877901,11.0622824
22877903,7.868382353
22877905,11.06224883
22877907,11.06223097
22877909,10.56056451
22877911,11.05689467
22877913,11.21749898
