COMID,Stream DOC
22877591,2.922071936
22877593,1.571403395
22877595,1.540092402
22877597,1.570557662
22877599,1.697375019
22877601,2.072362332
22877603,1.705850325
22877605,1.671361876
22877607,2.459093852
22877609,1.77140578
22877611,2.442544298
22877613,1.703192865
22877615,2.382730469
22877617,1.185959837
22877619,1.166336557
22877621,1.193047355
22877623,1.238252184
22877625,1.321621074
22877627,1.302657537
22877629,1.528106021
22877631,1.477874035
22877633,2.396743997
22877635,2.382235523
22877637,2.385247743
22877639,1.908709888
22877641,1.908709888
22877643,1.381995198
22877645,1.34501879
22877647,1.498576061
22877649,1.425924441
22877651,1.413737984
22877653,1.373074079
22877655,1.425695392
22877657,1.563955863
22877659,1.398042086
22877661,1.520986693
22877663,1.487678555
22877665,1.460068096
22877667,1.57998325
22877669,1.5629475
22877671,1.624074363
22877673,1.555305952
22877675,1.984241785
22877677,1.592679772
22877679,2.070898536
22877681,1.590671431
22877683,2.105736891
22877685,1.710473325
22877687,1.840206332
22877689,1.749392856
22877691,1.325466032
22877693,1.343643838
22877695,1.259321853
22877697,1.183256399
22877699,0.822931616
22877701,0.789496404
22877703,1.367340702
22877705,1.59939609
22877707,1.818906319
22877709,2.082023389
22877711,1.611234065
22877713,2.404838212
22877715,2.83190219
22877717,2.375987496
22877719,1.21273269
22877721,2.30249012
22877723,2.166719854
22877725,2.193658683
22877727,2.152280333
22877729,2.159993998
22877731,1.992670868
22877733,2.526274268
22877735,2.049394528
22877737,1.879435238
22877739,1.970369064
22877741,2.413940007
22877743,1.431788109
22877745,1.491349933
22877747,1.519701016
22877749,1.511275446
22877751,1.601674392
22877753,1.635745178
22877755,2.046607911
22877757,1.972273391
22877759,2.095218794
22877761,2.103555307
22877763,2.045355456
22877765,2.262189239
22877767,1.527482896
22877769,1.320599135
22877771,1.444405345
22877773,1.383070279
22877775,1.606481174
22877777,1.946386178
22877779,2.002966171
22877781,2.495534543
22877783,2.495534543
22877785,2.018889516
22877787,1.99053379
22877789,1.960740902
22877791,2.013967207
22877793,1.948088403
22877795,1.927938159
22877797,1.893694039
22877799,1.996611325
22877801,2.097612663
22877803,2.065700561
22877805,2.492021431
22877807,2.008004111
22877809,2.0607285
22877811,2.03774556
22877813,2.019268017
22877815,1.969188113
22877817,2.088017131
22877819,2.160962559
22877821,2.064010763
22877823,2.582138095
22877825,2.014976636
22877827,2.007332369
22877829,2.120183315
22877831,2.563760657
22877833,2.157709948
22877835,2.161826205
22877837,2.230381773
22877839,2.182551395
22877841,2.210972236
22877843,2.125232375
22877845,1.406002618
22877847,1.337884048
22877849,1.487449941
22877851,2.078145216
22877853,1.971354989
22877855,2.057448984
22877857,1.310179649
22877859,1.37994939
22877861,1.01938187
22877863,1.07918268
22877865,2.430143868
22877867,1.104413902
22877869,2.387710679
22877871,0.781818182
22877873,2.459834097
22877875,1.235978118
22877877,2.425209042
22877879,0.996764693
22877881,2.434284913
22877883,1.859526327
22877885,2.392010646
22877887,0.781818182
22877889,2.391740839
22877891,2.145552155
22877893,2.414856974
22877895,0.781818182
22877897,2.428727162
22877899,2.448825677
22877901,2.413260324
22877903,1.044929783
22877905,2.419259046
22877907,2.37709843
22877909,1.276159882
22877911,2.428811448
22877913,1.491235137
22877915,1.002305312
22877917,0.837997059
22877919,0.855809614
22877921,1.120318128
22877923,0.971949588
22877925,1.002623999
22877927,2.404795126
22877929,1.606289539
22877931,2.405303524
22877933,1.788678578
22877935,2.435450065
22877937,2.606494437
22877939,2.426638053
22877941,2.498134298
22877943,2.158461341
22877945,1.153731841
22877947,1.214368306
22877949,1.296018289
22877951,1.822345896
22877953,1.818540026
22877955,1.307469637
22877957,1.219056374
22877959,1.002657182
22877961,2.400576301
22877963,2.843692162
22877965,2.338750517
22877967,2.238345526
22877969,1.852342072
22877971,1.407603675
22877973,1.418015543
22877975,1.36662806
22877977,1.394175542
22877979,1.367497754
22877981,1.181928539
22877983,1.577447303
22877985,2.510046562
22877987,2.559065435
22877989,2.398902207
22877991,2.272592856
22877993,2.268934653
22877995,2.337986966
22877997,2.310106308
22877999,2.404469134
22878001,2.313816571
22878003,2.336035651
22878005,2.294859377
22878007,2.646585442
22878009,2.646585442
22878011,2.646585442
22878013,2.646585442
22878015,2.627680255
22878017,2.099396152
22878019,2.100664306
22878021,2.116756166
